entityRef,entityRefName,entityID,entityRefType
http://www.reactome.org/biopax/96/4839726#ProteinReference1,HIST1H4J,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,HIST2H4A,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4FG,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4C4,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4C1,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4/A,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4C9,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4FK,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4C14,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4/G,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4/D,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4FN,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4-16,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,HIST1H4B,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4C5,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,HIST1H4H,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4FA,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,HIST1H4K,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,HIST4H4,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4C13,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,UniProt:P62805 H4C1,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4FM,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4FC,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4C2,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,HIST1H4L,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4FB,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4/C,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4/H,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4/K,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4/B,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,HIST2H4B,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4F2,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,H4C6,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference1,HIST1H4C,P62805,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference283,UniProt:Q13185 CBX3,Q13185,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference283,CBX3,Q13185,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference249,BICRA,Q9NZM4,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/4839726#ProteinReference249,UniProt:Q9NZM4 BICRA,Q9NZM4,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
