O60583	P35813	0.5
O60583	Q14188	1.0
O60583	Q9UNE7	0.2
O60583	Q13547	0.75
O60583	P17275	1.0
O60583	P50750	1.0
O60583	P28749	1.0
O60583	Q13485	0.6
O60583	Q09472	1.0
P84022	Q15583	0.6666666666666666
P84022	Q9Y5K5	0.5
P84022	Q9HCE7	0.42857142857142855
P84022	Q9Y618	0.5
P84022	Q03167	0.3333333333333333
P84022	Q9HAU4	0.8333333333333334
P84022	Q8N2S1	0.3333333333333333
P84022	Q9NPB6	0.14285714285714285
P84022	Q969W9	0.5
P84022	Q6ZSZ5	0.14285714285714285
P84022	Q9Y4E8	0.5
P84022	Q14766	0.3333333333333333
P84022	Q13573	0.5
P84022	Q9P2M7	0.14285714285714285
P84022	Q9GZN2	0.6666666666666666
P84022	Q9UPN9	0.5
P84022	Q9NS15	0.3333333333333333
P84022	Q9UN42	0.5
P84022	Q15329	0.5
P84022	Q16254	0.5
P84022	Q13145	0.5
P84022	Q9Y624	0.14285714285714285
P84022	Q8TEW0	0.14285714285714285
P84022	Q15843	0.3333333333333333
P84022	Q14767	0.3333333333333333
P84022	Q96PU5	0.8333333333333334
P84022	Q15796	1.0
P84022	Q9Y3F4	0.5
P84022	Q05513	0.14285714285714285
P84022	Q9GZV5	0.6666666666666666
P84022	Q93008	0.5
P84022	Q9NYA4	0.5
P84022	Q14186	0.5
P84022	Q6ZNA4	0.6666666666666666
P84022	Q14188	0.5
P84022	Q9UNE7	0.5
P84022	Q13547	0.6666666666666666
P84022	Q13485	0.8333333333333334
P84022	Q09472	0.5
Q9Y618	Q9Y624	0.25
Q03167	Q15583	0.2
Q03167	Q9Y5K5	0.6666666666666666
Q03167	Q9HCE7	0.5
Q03167	Q9Y618	0.25
Q03167	Q9HAU4	0.4
Q03167	Q8N2S1	1.0
Q03167	Q9NPB6	0.3333333333333333
Q03167	Q969W9	0.6666666666666666
Q03167	Q6ZSZ5	0.3333333333333333
Q03167	Q9Y4E8	0.6666666666666666
Q03167	Q14766	1.0
Q03167	Q13573	0.25
Q03167	Q9P2M7	0.3333333333333333
Q03167	Q9GZN2	0.2
Q03167	Q9UPN9	0.25
Q03167	Q9NS15	1.0
Q03167	Q9UN42	0.25
Q03167	Q15329	0.25
Q03167	Q16254	0.25
Q03167	Q13145	0.6666666666666666
Q03167	Q9Y624	0.3333333333333333
Q03167	Q8TEW0	0.3333333333333333
Q03167	Q15843	1.0
Q03167	Q14767	1.0
Q03167	Q96PU5	0.4
Q03167	Q15796	0.3333333333333333
Q03167	Q9Y3F4	0.6666666666666666
Q03167	Q05513	0.3333333333333333
Q03167	Q9GZV5	0.2
Q03167	Q93008	0.25
Q03167	Q9NYA4	0.6666666666666666
Q03167	Q14186	0.25
Q03167	Q6ZNA4	0.2
Q03167	Q14188	0.25
Q03167	Q9UNE7	0.6666666666666666
Q03167	Q13547	0.2
Q03167	Q13485	0.4
Q03167	Q09472	0.25
Q9HAU4	Q9Y5K5	0.6
Q9HAU4	Q9HCE7	0.5
Q9HAU4	Q9Y618	0.6
Q9HAU4	Q9NPB6	0.16666666666666666
Q9HAU4	Q9Y4E8	0.6
Q9HAU4	Q9P2M7	0.16666666666666666
Q9HAU4	Q9UPN9	0.6
Q9HAU4	Q9NS15	0.4
Q9HAU4	Q9UN42	0.6
Q9HAU4	Q9Y624	0.16666666666666666
Q9HAU4	Q9Y3F4	0.6
Q9HAU4	Q9NYA4	0.6
Q9HAU4	Q9UNE7	0.6
P62942	Q15583	0.16666666666666666
P62942	Q9Y5K5	0.5
P62942	Q9HCE7	0.75
P62942	P84022	0.2857142857142857
P62942	Q9Y618	0.2
P62942	Q03167	0.6666666666666666
P62942	Q9HAU4	0.3333333333333333
P62942	Q8N2S1	0.6666666666666666
P62942	Q9NPB6	0.6666666666666666
P62942	Q969W9	0.5
P62942	Q6ZSZ5	0.6666666666666666
P62942	Q9Y4E8	0.5
P62942	Q14766	0.6666666666666666
P62942	Q13573	0.2
P62942	Q9P2M7	0.6666666666666666
P62942	Q9GZN2	0.16666666666666666
P62942	P67809	0.2
P62942	Q9UPN9	0.2
P62942	Q9NS15	0.6666666666666666
P62942	Q9UN42	0.2
P62942	Q15329	0.2
P62942	Q16254	0.2
P62942	Q13145	0.5
P62942	Q9Y624	0.6666666666666666
P62942	P62987	0.42857142857142855
P62942	Q8TEW0	0.6666666666666666
P62942	Q15843	0.6666666666666666
P62942	Q14767	0.6666666666666666
P62942	Q96PU5	0.3333333333333333
P62942	P62979	0.42857142857142855
P62942	Q15796	0.2857142857142857
P62942	Q9Y3F4	0.5
P62942	Q05513	0.6666666666666666
P62942	Q9GZV5	0.16666666666666666
P62942	Q93008	0.2
P62942	Q9NYA4	0.5
P62942	Q14186	0.2
P62942	Q6ZNA4	0.16666666666666666
P62942	Q14188	0.2
P62942	Q9UNE7	0.5
P62942	Q13547	0.16666666666666666
P62942	Q13485	0.3333333333333333
P62942	Q09472	0.2
Q8N2S1	Q9Y5K5	0.6666666666666666
Q8N2S1	Q9HCE7	0.5
Q8N2S1	Q9Y618	0.25
Q8N2S1	Q9HAU4	0.4
Q8N2S1	Q9NPB6	0.3333333333333333
Q8N2S1	Q969W9	0.6666666666666666
Q8N2S1	Q9Y4E8	0.6666666666666666
Q8N2S1	Q9P2M7	0.3333333333333333
Q8N2S1	Q9GZN2	0.2
Q8N2S1	Q9UPN9	0.25
Q8N2S1	Q9NS15	1.0
Q8N2S1	Q9UN42	0.25
Q8N2S1	Q9Y624	0.3333333333333333
Q8N2S1	Q8TEW0	0.3333333333333333
Q8N2S1	Q96PU5	0.4
Q8N2S1	Q9Y3F4	0.6666666666666666
Q8N2S1	Q9GZV5	0.2
Q8N2S1	Q93008	0.25
Q8N2S1	Q9NYA4	0.6666666666666666
Q8N2S1	Q9UNE7	0.6666666666666666
Q9NPB6	Q9Y5K5	0.25
Q9NPB6	Q9Y618	0.25
Q9NPB6	Q9Y4E8	0.25
Q9NPB6	Q9P2M7	1.0
Q9NPB6	Q9UPN9	0.25
Q9NPB6	Q9NS15	0.3333333333333333
Q9NPB6	Q9UN42	0.25
Q9NPB6	Q9Y624	1.0
Q9NPB6	Q9Y3F4	0.25
Q9NPB6	Q9NYA4	0.25
Q9NPB6	Q9UNE7	0.25
Q969W9	Q9Y5K5	1.0
Q969W9	Q9HCE7	0.75
Q969W9	Q9Y618	0.2
Q969W9	Q9HAU4	0.6
Q969W9	Q9NPB6	0.25
Q969W9	Q9Y4E8	1.0
Q969W9	Q9P2M7	0.25
Q969W9	Q9GZN2	0.16666666666666666
Q969W9	Q9UPN9	0.2
Q969W9	Q9NS15	0.6666666666666666
Q969W9	Q9UN42	0.2
Q969W9	Q9Y624	0.25
Q969W9	Q96PU5	0.6
Q969W9	Q9Y3F4	1.0
Q969W9	Q9GZV5	0.16666666666666666
Q969W9	Q9NYA4	1.0
Q969W9	Q9UNE7	1.0
Q6ZSZ5	Q9Y5K5	0.25
Q6ZSZ5	Q9HCE7	0.5
Q6ZSZ5	Q9Y618	0.25
Q6ZSZ5	Q9HAU4	0.16666666666666666
Q6ZSZ5	Q8N2S1	0.3333333333333333
Q6ZSZ5	Q9NPB6	1.0
Q6ZSZ5	Q969W9	0.25
Q6ZSZ5	Q9Y4E8	0.25
Q6ZSZ5	Q9P2M7	1.0
