"entityID","entityName"
"Q13547","UniProt:Q13547 HDAC1"
"Q13547","HDAC1"
"Q13547","RPD3L1"
"Q15583","UniProt:Q15583 TGIF1"
"Q15583","TGIF"
"Q15583","TGIF1"
"Q9GZN2","UniProt:Q9GZN2 TGIF2"
"Q9GZN2","TGIF2"
"Q9UPN9","KIAA1113"
"Q9UPN9","TRIM33"
"Q9UPN9","RFG7"
"Q9UPN9","TIF1G"
"Q9UPN9","UniProt:Q9UPN9 TRIM33"
"Q13705","UniProt:Q13705 ACVR2B"
"Q13705","ACVR2B"
"P09529","INHBB"
"P09529","UniProt:P09529 INHBB"
"Q8NER5","UniProt:Q8NER5 ACVR1C"
"Q8NER5","ACVR1C"
"Q8NER5","ALK7"
"O95633","UNQ674/PRO1308"
"O95633","UniProt:O95633 FSTL3"
"O95633","FSTL3"
"O95633","FLRG"
"P19883","UniProt:P19883 FST"
"P19883","FST"
"P36896","ALK4"
"P36896","ACVRLK4"
"P36896","UniProt:P36896 ACVR1B"
"P36896","ACVR1B"
"O75593","FOXH1"
"O75593","UniProt:O75593 FOXH1"
"O75593","FAST1"
"O75593","FAST2"
"Q7Z3T8","KIAA0305"
"Q7Z3T8","UniProt:Q7Z3T8 ZFYVE16"
"Q7Z3T8","ZFYVE16"
"Q15797","UniProt:Q15797 SMAD1"
"Q15797","MADR1"
"Q15797","BSP1"
"Q15797","SMAD1"
"Q15797","MADH1"
"O15198","UniProt:O15198 SMAD9"
"O15198","MADH9"
"O15198","SMAD8"
"O15198","MADH6"
"O15198","SMAD9"
"Q99717","UniProt:Q99717 SMAD5"
"Q99717","SMAD5"
"Q99717","MADH5"
"Q13873","UniProt:Q13873 BMPR2"
"Q13873","BMPR2"
"Q13873","PPH1"
"P12643","BMP2"
"P12643","BMP2A"
"P12643","UniProt:P12643 BMP2"
"O00238","BMPR1B"
"O00238","UniProt:O00238 BMPR1B"
"P36894","UniProt:P36894 BMPR1A"
"P36894","ACVRLK3"
"P36894","ALK3"
"P36894","BMPR1A"
"P03971","MIF"
"P03971","UniProt:P03971 AMH"
"P03971","AMH"
"Q16671","AMHR"
"Q16671","MISR2"
"Q16671","AMHR2"
"Q16671","UniProt:Q16671 AMHR2"
"O43541","SMAD6"
"O43541","UniProt:O43541 SMAD6"
"O43541","MADH6"
"O95813","CER1"
"O95813","DAND4"
"O95813","UniProt:O95813 CER1"
"Q13253","NOG"
"Q13253","UniProt:Q13253 NOG"
"Q9BU40","CHRDL1"
"Q9BU40","NRLN1"
"Q9BU40","UniProt:Q9BU40 CHRDL1"
"Q9H772","DAND3"
"Q9H772","PRDC"
"Q9H772","GREM2"
"Q9H772","CKTSF1B2"
"Q9H772","UniProt:Q9H772 GREM2"
"Q12841","FRP"
"Q12841","FSTL1"
"Q12841","UniProt:Q12841 FSTL1"
"Q9UK05","UniProt:Q9UK05 GDF2"
"Q9UK05","BMP9"
"Q9UK05","GDF2"
"O95393","UniProt:O95393 BMP10"
"O95393","BMP10"
"P37023","UniProt:P37023 ACVRL1"
"P37023","ACVRLK1"
"P37023","ACVRL1"
"P37023","ALK1"
"P05121","SERPINE1"
"P05121","UniProt:P05121 SERPINE1"
"P05121","PAI1"
"P05121","PLANH1"
"P08123","UniProt:P08123 COL1A2"
"P08123","COL1A2"
"P01106","BHLHE39"
"P01106","MYC"
"P01106","UniProt:P01106 MYC"
"P17275","JUNB"
"P17275","UniProt:P17275 JUNB"
"P42772","MTS2"
"P42772","CDKN2B"
"P42772","UniProt:P42772 CDKN2B"
"Q92542","UniProt:Q92542 NCSTN"
"Q92542","UNQ1874/PRO4317"
"Q92542","NCSTN"
"Q92542","KIAA0253"
"P49810","STM2"
"P49810","PS2"
"P49810","AD4"
"P49810","PSEN2"
"P49810","PSNL2"
"P49810","UniProt:P49810 PSEN2"
"P49768","UniProt:P49768 PSEN1"
"P49768","AD3"
"P49768","PSNL1"
"P49768","PS1"
"P49768","PSEN1"
"Q9NZ42","MDS033"
"Q9NZ42","PEN2"
"Q9NZ42","PSENEN"
"Q9NZ42","UniProt:Q9NZ42 PSENEN"
"Q96BI3","CGI-78"
"Q96BI3","UNQ579/PRO1141"
"Q96BI3","PSF"
"Q96BI3","APH1A"
"Q96BI3","UniProt:Q96BI3 APH1A"
"Q8WW43","UNQ688/PRO1328"
"Q8WW43","APH1B"
"Q8WW43","UniProt:Q8WW43 APH1B"
"Q8WW43","PSFL"
"P51512","MMP16"
"P51512","C8orf57"
"P51512","MMPX2"
"P51512","UniProt:P51512 MMP16"
"P50281","MMP14"
"P50281","UniProt:P50281 MMP14"
"P01033","TIMP1"
"P01033","CLGI"
"P01033","UniProt:P01033 TIMP1"
"P01033","TIMP"
"P16035","TIMP2"
"P16035","UniProt:P16035 TIMP2"
"Q9NRZ9","UniProt:Q9NRZ9 HELLS"
"Q9NRZ9","PASG"
"Q9NRZ9","HELLS"
"Q9NRZ9","SMARCA6"
"Q9NRZ9","Nbla10143"
"Q9BXK1","UniProt:Q9BXK1 KLF16"
"Q9BXK1","NSLP2"
"Q9BXK1","KLF16"
"Q9BXK1","BTEB4"
"P04198","BHLHE37"
"P04198","NMYC"
"P04198","MYCN"
"P04198","UniProt:P04198 MYCN"
"P24863","CCNC"
"P24863","UniProt:P24863 CCNC"
"P49336","UniProt:P49336 CDK8"
"P49336","CDK8"
"O60563","CCNT1"
"O60563","UniProt:O60563 CCNT1"
"O75909","CCNK"
"O75909","CPR4"
