pathwayID,entityID
R-HSA-162582,Q9UBI6
R-HSA-162582,P59768
R-HSA-162582,P63096
R-HSA-162582,P04899
R-HSA-162582,P08754
R-HSA-162582,A8MTJ3
R-HSA-162582,O15530
R-HSA-162582,Q05513
R-HSA-162582,P01111
R-HSA-162582,P01112
R-HSA-162582,P28482
R-HSA-162582,Q99500
R-HSA-162582,P08069
R-HSA-162582,P42336
R-HSA-162582,P27986
R-HSA-162582,O00459
R-HSA-162582,Q92569
R-HSA-162582,P11831
R-HSA-162582,P19419
R-HSA-162582,P46527
R-HSA-162582,O43524
R-HSA-162582,Q01469
R-HSA-162582,Q03181
R-HSA-162582,P29373
R-HSA-162582,P48443
R-HSA-162582,P13631
R-HSA-162582,P10276
R-HSA-162582,P10826
R-HSA-162582,P29762
R-HSA-162582,P29803
R-HSA-162582,P08559
R-HSA-162582,P11177
R-HSA-162582,P09622
R-HSA-162582,O00330
R-HSA-162582,P10515
R-HSA-162582,Q2M1P5
R-HSA-162582,Q8N6U8
R-HSA-162582,Q9HBG6
R-HSA-162582,Q8NEZ3
R-HSA-162582,Q96RY7
R-HSA-162582,Q7Z4L5
R-HSA-162582,Q9P2L0
R-HSA-162582,O75386
R-HSA-162582,P08151
R-HSA-162582,P10070
R-HSA-162582,P10071
R-HSA-162582,Q9UMX1
R-HSA-162582,P0CG48
R-HSA-162582,P62987
R-HSA-162582,P0CG47
R-HSA-162582,P62979
R-HSA-162582,P49757
R-HSA-162582,Q96J02
R-HSA-162582,P10644
R-HSA-162582,P13861
R-HSA-162582,P31321
R-HSA-162582,P31323
R-HSA-162582,P17612
R-HSA-162582,P22694
R-HSA-162582,P22612
R-HSA-162582,Q99835
R-HSA-162582,O43323
R-HSA-162582,Q15465
R-HSA-162582,Q14623
R-HSA-162582,P07237
R-HSA-162582,Q13438
R-HSA-162582,Q96DZ1
R-HSA-162582,Q9GZP9
R-HSA-162582,Q9UBV2
R-HSA-162582,Q86TM6
R-HSA-162582,P55072
R-HSA-162582,P78333
R-HSA-162582,Q9NQ36
R-HSA-162582,A7MBM2
R-HSA-162582,Q6PHR2
R-HSA-162582,P62877
R-HSA-162582,O43791
R-HSA-162582,Q6IQ16
R-HSA-162582,Q13618
R-HSA-162582,Q13635
R-HSA-162582,Q9HCE7
R-HSA-162582,Q9HAU4
R-HSA-162582,P48729
R-HSA-162582,P25098
R-HSA-162582,P57679
R-HSA-162582,Q86UK5
R-HSA-162582,Q6IPM2
R-HSA-162582,A8K855
R-HSA-162582,P49407
R-HSA-162582,P32121
R-HSA-162582,Q9Y496
R-HSA-162582,Q4KMG0
R-HSA-162582,P54826
R-HSA-162582,Q96QV1
R-HSA-162582,Q9BWV1
R-HSA-162582,Q6P1J9
R-HSA-162582,Q7Z5R6
R-HSA-162582,P62834
R-HSA-162582,P61224
R-HSA-162582,Q9Y490
R-HSA-162582,P04275
R-HSA-162582,P02751
R-HSA-162582,P02671
R-HSA-162582,P02675
R-HSA-162582,P02679
R-HSA-162582,P05106
R-HSA-162582,P08514
R-HSA-162582,Q07889
R-HSA-162582,P29353
R-HSA-162582,P41240
R-HSA-162582,P43405
R-HSA-162582,P56945
R-HSA-162582,P46108
R-HSA-162582,Q04912
R-HSA-162582,P26927
R-HSA-162582,P04626
R-HSA-162582,Q02297
R-HSA-162582,O14511
R-HSA-162582,Q8WWG1
R-HSA-162582,P56975
R-HSA-162582,Q13480
R-HSA-162582,Q9H4P4
R-HSA-162582,P40818
R-HSA-162582,P42679
R-HSA-162582,Q16543
R-HSA-162582,Q96RT1
R-HSA-162582,Q99952
R-HSA-162582,Q05209
R-HSA-162582,Q14451
R-HSA-162582,Q13882
R-HSA-162582,P19174
R-HSA-162582,P61586
R-HSA-162582,O60610
R-HSA-162582,Q9Y316
R-HSA-162582,P19878
R-HSA-162582,Q15080
R-HSA-162582,P13498
R-HSA-162582,P04839
R-HSA-162582,P14598
R-HSA-162582,P63000
R-HSA-162582,P35968
R-HSA-162582,Q15464
R-HSA-162582,P15498
R-HSA-162582,P52735
R-HSA-162582,Q9UKW4
R-HSA-162582,Q9NP31
R-HSA-162582,P30530
R-HSA-162582,P06241
R-HSA-162582,P16333
R-HSA-162582,O43639
R-HSA-162582,Q13177
R-HSA-162582,P98077
R-HSA-162582,P60953
R-HSA-162582,P49023
R-HSA-162582,P31751
R-HSA-162582,Q9Y243
R-HSA-162582,P31749
R-HSA-162582,Q13153
R-HSA-162582,O75914
R-HSA-162582,P29474
R-HSA-162582,P0DP23
R-HSA-162582,P33151
R-HSA-162582,P35221
R-HSA-162582,O60716
R-HSA-162582,P14923
R-HSA-162582,P35222
R-HSA-162582,P42338
R-HSA-162582,O75116
R-HSA-162582,Q13464
R-HSA-162582,P06756
R-HSA-162582,Q14289
R-HSA-162582,Q9UQB8
R-HSA-162582,Q9UPY6
R-HSA-162582,Q92558
R-HSA-162582,Q9Y6W5
R-HSA-162582,Q96F07
R-HSA-162582,Q7L576
R-HSA-162582,Q9NYB9
R-HSA-162582,Q8IZP0
R-HSA-162582,Q9Y2A7
R-HSA-162582,P55160
R-HSA-162582,Q8WUW1
R-HSA-162582,Q15759
R-HSA-162582,O15264
R-HSA-162582,P53778
R-HSA-162582,Q16539
R-HSA-162582,Q14185
