pathwayID,nbID
R-HSA-8948747,9
R-HSA-1474228,111
R-HSA-5357956,29
R-HSA-210991,25
R-HSA-2022928,33
R-HSA-9665251,4
R-HSA-556833,763
R-HSA-9635465,12
R-HSA-8939236,85
R-HSA-5620971,27
R-HSA-3000170,20
R-HSA-427601,8
R-HSA-5619102,102
R-HSA-351200,3
R-HSA-4687000,1
R-HSA-453274,178
R-HSA-3315487,3
R-HSA-1660514,18
R-HSA-389948,182
R-HSA-210990,12
R-HSA-9026527,4
R-HSA-5690338,1
R-HSA-9668328,32
R-HSA-444209,5
R-HSA-5674135,32
R-HSA-9723907,1
R-HSA-9945266,87
R-HSA-9702614,1
R-HSA-2408508,8
R-HSA-1362300,16
R-HSA-77042,2
R-HSA-9619229,7
R-HSA-68877,189
R-HSA-210993,19
R-HSA-9640463,4
R-HSA-68962,33
R-HSA-9725554,1
R-HSA-445095,15
R-HSA-913709,65
R-HSA-201681,190
R-HSA-76061,28
R-HSA-8937144,7
R-HSA-4720489,1
R-HSA-168643,57
R-HSA-9605308,7
R-HSA-196807,29
R-HSA-9619665,29
R-HSA-9735869,40
R-HSA-6806003,37
R-HSA-9768727,32
R-HSA-450513,17
R-HSA-9661070,1
R-HSA-193648,59
R-HSA-110373,25
R-HSA-71387,303
R-HSA-9630747,4
R-HSA-9717316,1
R-HSA-5221030,4
R-HSA-5658442,56
R-HSA-5654700,13
R-HSA-1643685,2418
R-HSA-202403,113
R-HSA-5602680,3
R-HSA-1855170,34
R-HSA-444821,8
R-HSA-159424,9
R-HSA-379724,42
R-HSA-429958,16
R-HSA-9636667,3
R-HSA-8852405,5
R-HSA-9754560,14
R-HSA-428930,26
R-HSA-9748787,23
R-HSA-9675108,520
R-HSA-5357609,2
R-HSA-9672387,1
R-HSA-9027284,15
R-HSA-9726842,6
R-HSA-1592389,33
R-HSA-9932451,31
R-HSA-9818035,5
R-HSA-8866652,30
R-HSA-9920951,17
R-HSA-5628897,79
R-HSA-9708530,11
R-HSA-9943962,49
R-HSA-9954709,103
R-HSA-9027283,7
R-HSA-432047,13
R-HSA-9748784,111
R-HSA-76066,27
R-HSA-198323,14
R-HSA-211976,26
R-HSA-9608287,1
R-HSA-418555,161
R-HSA-9656256,1
R-HSA-1236382,20
R-HSA-75876,24
R-HSA-9927418,3
R-HSA-3000480,14
R-HSA-947581,8
R-HSA-1638074,37
R-HSA-379726,21
R-HSA-177539,9
R-HSA-500657,21
R-HSA-9604323,45
R-HSA-3134963,7
R-HSA-532668,35
R-HSA-8854050,42
R-HSA-3000178,53
R-HSA-9726840,8
R-HSA-5619104,1
R-HSA-3296482,22
R-HSA-390450,10
R-HSA-3645790,3
R-HSA-434316,8
R-HSA-5387390,46
R-HSA-418990,224
R-HSA-9022692,20
R-HSA-8866654,59
R-HSA-9656255,1
R-HSA-4420097,98
R-HSA-8951911,2
R-HSA-9717319,1
R-HSA-9758920,5
R-HSA-9673013,2
R-HSA-68616,37
R-HSA-5358493,8
R-HSA-6783984,7
R-HSA-9828211,11
R-HSA-9032500,7
R-HSA-9734091,2
R-HSA-186712,44
R-HSA-351906,11
R-HSA-9758919,4
R-HSA-8876384,23
R-HSA-5674400,26
R-HSA-9027277,7
R-HSA-9673767,13
R-HSA-9841251,18
R-HSA-5654720,9
R-HSA-9931521,12
R-HSA-9669933,1
R-HSA-196843,7
R-HSA-5627083,3
R-HSA-1483206,129
R-HSA-194315,658
R-HSA-381183,10
R-HSA-5099900,15
R-HSA-5602358,30
R-HSA-1369007,4
R-HSA-166665,8
R-HSA-8849472,3
R-HSA-9013148,150
R-HSA-9845323,66
R-HSA-6811440,49
R-HSA-975634,44
R-HSA-9027276,12
R-HSA-9673766,3
R-HSA-400451,11
R-HSA-4341670,3
R-HSA-9732724,8
R-HSA-391906,5
R-HSA-9907900,52
R-HSA-211979,12
R-HSA-425407,244
R-HSA-3371511,12
R-HSA-9669934,1
R-HSA-9918432,51
R-HSA-2262752,758
R-HSA-77350,5
R-HSA-8849473,5
R-HSA-5653656,648
R-HSA-9013149,174
R-HSA-432722,56
R-HSA-9632700,3
R-HSA-163680,8
R-HSA-111957,4
R-HSA-9702569,1
R-HSA-3299685,39
R-HSA-3232142,43
R-HSA-9821002,39
R-HSA-5660862,2
R-HSA-1643713,26
R-HSA-9717301,1
R-HSA-8949275,6
R-HSA-9615017,30
R-HSA-9607240,39
R-HSA-8849470,6
